lq_month1_emplvl,oty_month1_emplvl_pct_chg,lq_month2_emplvl,oty_month2_emplvl_pct_chg,lq_month3_emplvl,oty_month3_emplvl_pct_chg,lq_qtrly_contributions,oty_qtrly_contributions_pct_chg,lq_avg_wkly_wage,lq_total_qtrly_wages
0.82,0.4,0.82,1.1,0.83,2.0,0.77,56.7,0.84,0.69
0.83,17.2,0.83,9.2,0.82,6.6,0.94,83.5,0.88,0.73
0.82,6.2,0.82,4.1,0.82,4.4,0.9,72.6,0.84,0.69
0.84,7.1,0.83,6.5,0.83,6.3,0.91,71.1,0.86,0.72
0.26,9.1,0.26,10.0,0.26,6.0,0.0,0.0,1.21,0.31
0.26,9.7,0.24,-4.4,0.25,2.2,0.0,0.0,1.12,0.28
0.25,0.0,0.26,-19.8,0.27,-19.1,0.0,0.0,1.02,0.26
0.26,-14.1,0.26,1.0,0.26,-4.2,0.0,0.0,1.11,0.29
0.44,-3.6,0.48,-4.8,0.49,-2.2,0.0,0.0,1.01,0.47
0.48,-3.5,0.47,-3.6,0.44,-12.3,0.0,0.0,0.99,0.46
0.45,-1.0,0.45,-4.4,0.48,-2.7,0.0,0.0,0.95,0.43
0.46,-5.5,0.46,-6.2,0.45,-4.4,0.0,0.0,1.08,0.49
1.23,1.8,1.22,1.6,1.21,1.3,1.67,98.4,1.34,1.63
1.21,4.7,1.19,14.0,1.22,13.4,0.64,98.4,1.13,1.36
1.28,6.2,1.26,4.9,1.2,2.7,0.95,109.8,1.21,1.5
1.21,3.6,1.21,2.8,1.22,2.8,0.74,146.1,1.2,1.46
1.05,-3.2,1.05,-3.5,1.06,-2.5,1.1,46.5,0.93,0.99
1.06,21.6,1.06,11.8,1.07,6.6,1.22,88.5,0.97,1.03
1.06,6.7,1.06,4.6,1.06,5.6,1.17,49.6,0.96,1.02
1.05,6.9,1.05,5.8,1.05,5.5,1.09,63.6,0.95,1.0
0.34,-3.6,0.32,-5.7,0.33,-9.1,0.0,0.0,1.23,0.41
0.34,-10.5,0.33,-14.0,0.37,3.7,0.0,0.0,1.16,0.4
0.34,-8.9,0.39,-25.3,0.34,-39.5,0.0,0.0,1.1,0.39
0.35,-33.8,0.35,3.8,0.38,5.5,0.0,0.0,1.1,0.4
2.46,-3.4,2.42,-2.6,2.47,-2.4,0.0,0.0,1.14,2.81
2.49,-1.0,2.45,-5.4,2.5,-3.3,0.0,0.0,1.13,2.8
2.48,-4.5,2.47,-2.5,2.31,-7.8,0.0,0.0,1.06,2.57
2.28,-8.9,2.3,-5.9,2.28,-7.7,0.0,0.0,1.31,2.99
1.28,-2.4,1.26,-4.5,1.23,-7.1,2.56,36.7,1.18,1.48
1.28,-0.3,1.29,2.3,1.31,0.3,2.49,87.3,1.04,1.35
1.49,0.4,1.45,1.0,1.3,0.6,2.7,92.0,1.16,1.64
1.28,1.0,1.25,-1.4,1.25,-1.0,1.58,7.0,1.19,1.5
0.67,-5.8,0.67,-5.9,0.67,-6.1,0.69,33.7,0.88,0.59
0.67,2.7,0.67,0.1,0.67,-0.9,0.83,49.9,0.88,0.59
0.65,-2.1,0.65,-1.0,0.65,-0.2,0.78,22.6,0.88,0.57
0.64,-0.9,0.63,-1.3,0.65,1.4,0.71,26.8,0.85,0.55
0.66,-4.5,0.67,3.2,0.67,-3.0,0.0,0.0,1.22,0.82
0.7,0.0,0.72,3.1,0.75,14.5,0.0,0.0,1.08,0.78
0.74,6.2,0.73,-2.9,0.72,-9.5,0.0,0.0,1.11,0.81
0.77,9.4,0.73,9.8,0.75,13.1,0.0,0.0,1.11,0.83
1.62,-2.0,1.56,-0.4,1.61,0.0,0.0,0.0,1.22,1.95
1.59,-2.0,1.6,-4.0,1.53,-11.0,0.0,0.0,1.1,1.74
1.54,-12.2,1.53,-10.2,1.47,-11.8,0.0,0.0,1.04,1.57
1.58,-8.0,1.59,-4.5,1.58,-2.9,0.0,0.0,1.15,1.83
2.12,-0.6,2.09,-1.8,2.1,-3.0,1.98,92.7,0.99,2.09
2.11,-1.0,2.12,10.2,2.19,10.0,1.85,123.9,0.85,1.83
2.39,4.2,2.37,8.2,2.15,0.6,1.47,64.8,0.98,2.25
2.17,1.0,2.15,-0.3,2.14,-0.5,1.42,87.0,0.93,1.99
0.64,5.4,0.64,7.0,0.65,6.4,0.69,24.3,0.88,0.57
0.65,11.7,0.65,7.5,0.64,8.1,0.86,8.1,0.91,0.59
0.63,3.5,0.64,2.0,0.64,4.3,0.73,-19.1,0.88,0.56
0.64,1.9,0.63,0.7,0.63,3.2,0.65,4.5,0.83,0.53
0.53,3.4,0.47,-5.9,0.5,-7.7,0.0,0.0,1.1,0.55
0.48,-7.0,0.48,-7.0,0.47,0.0,0.0,0.0,1.13,0.54
0.52,-3.4,0.4,-42.2,0.46,-33.0,0.0,0.0,1.07,0.49
0.46,-23.5,0.47,-6.0,0.51,-1.2,0.0,0.0,1.09,0.52
0.62,2.5,0.6,0.6,0.59,-1.2,0.0,0.0,0.93,0.56
0.57,-4.4,0.58,-0.6,0.6,0.6,0.0,0.0,1.01,0.59
0.61,-3.1,0.61,-4.3,0.59,-4.3,0.0,0.0,0.85,0.51
0.59,-4.9,0.58,-5.6,0.58,-6.7,0.0,0.0,1.12,0.66
2.2,-4.4,2.19,-4.8,2.18,-4.9,2.89,36.4,1.22,2.67
2.2,-0.6,2.18,8.1,2.21,7.5,1.79,173.2,1.05,2.32
2.32,-1.2,2.31,0.8,2.28,2.8,1.68,92.8,1.15,2.65
2.28,2.9,2.3,4.0,2.3,5.6,1.69,59.7,1.1,2.51
0.75,-3.3,0.75,-1.8,0.76,-0.3,0.86,64.1,0.97,0.73
0.76,6.8,0.77,7.2,0.77,4.3,0.96,79.7,0.94,0.72
0.77,3.8,0.78,3.8,0.76,4.0,0.98,81.0,0.93,0.72
0.76,5.0,0.76,5.0,0.75,5.3,0.89,73.5,0.93,0.71
0.5,-21.6,0.5,-19.4,0.51,-17.1,0.0,0.0,1.12,0.56
0.54,-14.3,0.54,-11.8,0.51,-9.4,0.0,0.0,1.04,0.55
0.52,-12.1,0.54,-37.5,0.53,-45.3,0.0,0.0,1.02,0.54
0.52,-39.1,0.53,-9.7,0.51,-10.0,0.0,0.0,1.07,0.56
2.65,-2.0,2.55,-1.7,2.6,0.4,0.0,0.0,1.43,3.71
2.66,-0.4,2.65,-2.5,2.69,-1.7,0.0,0.0,1.2,3.2
2.44,-14.3,2.57,-6.4,2.52,-9.2,0.0,0.0,1.17,2.94
2.46,-11.8,2.41,-14.9,2.36,-17.9,0.0,0.0,1.4,3.36
1.14,-5.7,1.13,-5.7,1.11,-6.4,0.04,100.0,1.15,1.29
1.13,-4.4,1.13,-2.5,1.17,0.3,0.02,100.0,1.01,1.15
1.34,2.6,1.3,2.6,1.18,1.0,0.05,100.0,1.04,1.32
1.18,0.0,1.2,-2.8,1.16,-4.1,0.01,0.0,1.01,1.2
0.58,-9.1,0.57,-10.5,0.57,-10.6,0.4,14.1,0.94,0.53
0.56,-6.4,0.56,-8.8,0.57,-4.1,0.34,18.7,0.9,0.51
0.57,-8.5,0.56,-9.1,0.56,-11.9,0.46,24.9,0.91,0.52
0.57,-9.7,0.58,-8.9,0.58,-7.9,0.59,37.7,0.88,0.51
0.3,-9.3,0.29,-9.5,0.29,-15.9,0.0,0.0,1.04,0.31
0.28,-22.2,0.3,-17.8,0.3,-11.6,0.0,0.0,1.0,0.29
0.27,-22.2,0.3,-47.9,0.33,-40.6,0.0,0.0,0.95,0.29
0.31,-30.9,0.33,5.1,0.34,13.5,0.0,0.0,0.96,0.31
0.47,-3.0,0.46,-3.0,0.47,0.0,0.0,0.0,1.14,0.54
0.47,0.0,0.47,0.0,0.47,-1.1,0.0,0.0,1.23,0.58
0.47,0.0,0.48,0.0,0.47,-4.2,0.0,0.0,1.08,0.51
0.45,-9.3,0.46,-5.3,0.46,-8.2,0.0,0.0,1.35,0.61
1.14,-6.1,1.13,-7.6,1.14,-7.1,0.41,98.5,1.23,1.39
1.16,-2.2,1.18,1.3,1.19,0.8,0.5,139.2,1.08,1.28
1.3,8.0,1.31,12.3,1.16,1.0,0.28,31.2,1.18,1.48
1.14,-3.0,1.14,-3.3,1.14,-3.0,0.44,106.5,1.2,1.37
0.87,-5.2,0.88,-4.4,0.87,-4.2,0.72,37.9,0.86,0.76
0.87,16.8,0.87,9.4,0.87,4.4,0.97,86.9,0.89,0.78
0.87,4.2,0.86,1.7,0.87,-3.2,0.96,47.6,0.87,0.76
0.88,3.0,0.88,2.3,0.88,3.5,0.99,48.2,0.85,0.75
4.73,-0.7,4.73,-0.6,4.77,-1.6,0.0,0.0,1.08,5.12
4.78,-1.2,4.82,-1.6,4.8,-1.9,0.0,0.0,0.94,4.51
4.74,-3.1,4.76,-6.1,4.76,-6.3,0.0,0.0,1.13,5.37
4.69,-7.2,4.6,-7.2,4.57,-7.5,0.0,0.0,1.14,5.27
1.22,-1.5,1.21,-1.3,1.24,-0.9,0.0,0.0,1.21,1.48
1.25,1.6,1.26,1.8,1.25,0.1,0.0,0.0,1.2,1.5
1.17,-1.3,1.16,-1.3,1.19,1.0,0.0,0.0,0.98,1.15
1.28,-0.4,1.29,-0.4,1.27,-1.3,0.0,0.0,1.18,1.52
1.45,-2.4,1.44,-3.1,1.45,-2.7,1.09,172.7,1.19,1.72
1.46,3.7,1.48,6.3,1.52,3.3,0.64,226.1,1.07,1.58
1.7,0.0,1.66,1.4,1.5,0.5,1.48,702.9,1.16,1.88
1.47,0.0,1.47,-0.3,1.5,1.4,0.6,-68.3,1.2,1.78
0.78,-3.6,0.78,-3.7,0.78,-3.3,0.91,46.7,0.8,0.62
0.78,15.1,0.78,9.7,0.78,5.7,1.14,94.0,0.86,0.67
0.77,3.8,0.77,3.3,0.78,2.9,1.06,61.7,0.84,0.65
0.79,3.4,0.79,2.0,0.78,1.7,1.04,48.3,0.83,0.65
0.31,-7.3,0.29,-12.5,0.3,-15.5,0.0,0.0,1.08,0.32
0.3,-12.3,0.3,-10.9,0.31,-5.7,0.0,0.0,1.07,0.33
0.29,-14.3,0.29,-33.3,0.29,-32.4,0.0,0.0,1.08,0.31
0.3,-23.4,0.29,-5.9,0.3,-3.9,0.0,0.0,1.08,0.32
0.51,-8.2,0.5,-8.3,0.5,-9.6,0.0,0.0,0.94,0.47
0.53,-4.8,0.5,-5.1,0.53,0.7,0.0,0.0,0.99,0.52
0.53,2.3,0.52,1.5,0.53,-1.4,0.0,0.0,0.88,0.47
0.52,-0.7,0.52,-2.2,0.53,1.5,0.0,0.0,1.07,0.56
1.88,-7.4,1.89,-7.4,1.91,-8.1,1.14,80.4,1.28,2.42
1.89,-3.0,1.88,-2.7,1.92,-3.6,0.95,38.0,1.17,2.21
2.13,-4.0,2.08,-1.7,1.92,-2.2,0.59,170.9,1.24,2.53
1.86,-3.2,1.89,-2.9,1.89,-0.3,0.48,42.1,1.19,2.24
0.71,-4.0,0.71,-3.2,0.71,-4.2,0.71,53.7,0.76,0.54
0.72,15.3,0.72,8.4,0.71,5.1,0.96,69.2,0.79,0.56
0.69,3.8,0.7,3.0,0.69,-1.6,0.76,70.3,0.78,0.54
0.69,-4.5,0.7,-0.5,0.7,-3.6,0.66,27.1,0.75,0.52
0.44,-4.3,0.42,-6.5,0.43,-26.7,0.0,0.0,1.14,0.49
0.45,-16.1,0.42,-20.0,0.42,-10.2,0.0,0.0,1.08,0.47
0.44,-2.1,0.43,-31.2,0.44,-36.6,0.0,0.0,1.01,0.44
0.47,-16.1,0.43,-4.5,0.47,-6.0,0.0,0.0,1.13,0.52
0.51,-2.4,0.52,-1.2,0.51,-2.3,0.0,0.0,1.16,0.6
0.51,1.2,0.51,3.7,0.51,-1.2,0.0,0.0,1.15,0.59
0.52,5.0,0.53,5.0,0.5,-1.2,0.0,0.0,1.04,0.54
0.47,-10.8,0.47,-13.1,0.48,-10.7,0.0,0.0,1.26,0.59
2.27,-4.2,2.28,-3.2,2.23,-4.8,2.46,-0.8,1.29,2.91
2.23,-1.3,2.23,6.7,2.28,7.5,0.7,13.0,1.11,2.5
2.45,0.5,2.46,1.3,2.25,0.4,0.69,28.4,1.24,2.96
2.28,1.2,2.25,-3.6,2.26,-0.9,0.76,8.5,1.21,2.74
0.74,0.8,0.74,2.4,0.74,2.7,0.73,46.5,0.9,0.67
0.74,15.9,0.75,7.5,0.76,4.0,0.88,66.0,0.94,0.71
0.76,5.8,0.76,4.4,0.77,5.9,0.89,77.5,0.91,0.69
0.75,6.1,0.76,5.0,0.75,5.4,0.8,94.1,0.91,0.68
0.35,-3.0,0.36,3.1,0.34,-8.8,0.0,0.0,1.0,0.35
0.37,0.0,0.36,3.2,0.38,13.3,0.0,0.0,0.91,0.34
0.36,-4.5,0.36,-24.7,0.35,-27.6,0.0,0.0,0.85,0.3
0.37,-11.0,0.36,-1.5,0.37,1.6,0.0,0.0,0.92,0.34
0.85,-1.6,0.84,-3.6,0.84,-4.0,0.0,0.0,1.04,0.88
0.85,-1.2,0.87,-0.4,0.9,2.4,0.0,0.0,1.12,0.98
0.92,1.2,0.91,-0.4,0.89,-0.4,0.0,0.0,0.96,0.87
0.94,2.8,0.93,3.2,0.92,1.6,0.0,0.0,1.22,1.13
1.74,-2.8,1.72,-4.6,1.76,-2.7,4.43,105.0,1.15,2.0
1.75,0.1,1.77,11.0,1.82,11.3,3.74,215.8,0.98,1.75
2.0,8.1,1.86,2.5,1.84,8.4,2.97,182.8,1.06,2.01
1.86,7.1,1.86,7.6,1.85,8.3,3.37,107.2,1.03,1.92
0.72,-6.1,0.72,-6.1,0.72,-5.1,0.66,49.1,0.89,0.64
0.73,5.8,0.74,3.3,0.73,0.5,0.94,70.1,0.92,0.67
0.74,1.8,0.74,2.2,0.73,1.1,0.93,79.4,0.87,0.64
0.73,0.9,0.72,1.7,0.72,0.9,0.84,55.9,0.88,0.64
0.35,4.0,0.38,16.0,0.38,-9.7,0.0,0.0,0.65,0.24
0.35,-24.2,0.38,-10.0,0.39,7.7,0.0,0.0,0.67,0.25
0.39,-15.6,0.4,-32.5,0.36,-46.7,0.0,0.0,0.59,0.22
0.4,-36.6,0.34,-18.5,0.34,-14.8,0.0,0.0,0.64,0.23
0.54,12.3,0.56,1.5,0.54,0.0,0.0,0.0,0.58,0.32
0.56,-4.5,0.57,-7.2,0.62,0.0,0.0,0.0,0.63,0.37
0.6,-1.5,0.56,-4.9,0.62,-2.9,0.0,0.0,0.53,0.31
0.61,-4.5,0.58,-7.7,0.65,0.0,0.0,0.0,0.62,0.38
0.96,-8.2,0.97,-4.6,0.97,-5.1,1.14,71.3,0.81,0.78
1.01,-4.4,1.01,5.1,1.03,7.0,1.46,64.1,0.74,0.75
1.15,1.2,1.13,0.6,1.09,6.0,2.21,64.2,0.77,0.86
1.12,8.1,1.12,4.3,1.11,2.5,0.98,86.8,0.76,0.85
0.72,17.5,0.72,14.9,0.72,15.0,0.84,195.3,0.8,0.58
0.7,15.0,0.68,6.2,0.68,5.6,0.92,103.9,0.83,0.57
0.67,-1.6,0.66,-7.8,0.65,-10.3,0.83,8.8,0.77,0.51
0.64,-16.0,0.65,-17.2,0.63,-17.6,0.7,-18.8,0.69,0.44
0.4,-13.5,0.41,-5.8,0.42,-5.7,0.0,0.0,1.05,0.43
0.42,-9.5,0.44,-1.4,0.42,0.0,0.0,0.0,0.97,0.41
0.42,0.0,0.42,-29.8,0.43,-32.0,0.0,0.0,0.96,0.41
0.42,-19.5,0.42,4.7,0.47,11.9,0.0,0.0,1.01,0.44
1.19,-6.8,1.2,-10.6,1.21,-7.8,0.0,0.0,1.04,1.25
1.22,-7.8,1.23,-8.8,1.24,-10.5,0.0,0.0,1.1,1.35
1.26,-3.1,1.23,-1.0,1.24,-0.3,0.0,0.0,1.01,1.26
1.24,-2.5,1.24,-3.7,1.26,-0.9,0.0,0.0,1.24,1.54
1.66,-1.7,1.67,-1.8,1.68,-0.5,6.32,116.2,1.04,1.74
1.64,1.2,1.67,9.8,1.74,10.3,3.05,18.2,0.91,1.53
1.85,1.5,1.78,1.5,1.67,2.8,3.63,-10.6,1.03,1.82
1.69,3.1,1.68,1.4,1.65,0.4,3.11,75.8,1.06,1.77
0.74,-3.3,0.73,-3.9,0.73,-3.9,0.74,36.2,0.76,0.56
0.72,3.4,0.72,-0.9,0.71,-2.1,0.91,48.3,0.79,0.56
0.71,-2.6,0.72,-1.3,0.72,-0.6,0.84,45.4,0.75,0.54
0.71,0.6,0.71,-1.3,0.71,-0.6,0.73,36.6,0.75,0.53
0.48,-10.6,0.48,-6.7,0.46,-18.4,0.0,0.0,1.1,0.52
0.47,-14.9,0.47,-22.0,0.5,-16.0,0.0,0.0,1.18,0.57
0.52,-12.2,0.53,-28.3,0.47,-25.5,0.0,0.0,0.98,0.49
0.46,-31.5,0.44,-14.3,0.43,-18.6,0.0,0.0,1.2,0.53
0.4,0.0,0.4,0.0,0.41,-1.8,0.0,0.0,0.82,0.33
0.41,-1.8,0.43,-1.8,0.43,-1.8,0.0,0.0,0.94,0.4
0.43,-3.5,0.43,-5.3,0.42,-6.9,0.0,0.0,0.83,0.35
0.41,-7.0,0.42,-5.3,0.41,-5.4,0.0,0.0,1.12,0.46
1.89,-6.9,1.87,-8.7,1.91,-7.4,3.1,19.5,1.09,2.07
1.94,4.4,1.98,7.8,2.01,5.5,1.92,13.1,1.08,2.13
2.23,1.0,2.21,0.8,2.02,-1.1,1.64,62.9,0.96,2.06
1.96,-3.8,1.96,-1.5,1.93,-3.0,2.04,256.8,1.11,2.17
0.31,-4.7,0.32,-2.7,0.31,-6.4,0.3,49.4,0.85,0.27
0.32,3.3,0.33,2.3,0.32,2.7,0.41,75.7,0.85,0.28
0.31,-0.5,0.31,-2.2,0.32,1.3,0.35,89.6,0.84,0.26
0.32,2.1,0.32,2.3,0.33,5.9,0.39,137.0,0.93,0.3
1.07,9.1,1.1,4.3,1.12,2.1,0.0,0.0,0.95,1.04
1.15,0.0,1.19,2.0,1.21,6.2,0.0,0.0,0.85,1.01
1.11,-2.0,1.08,-21.3,1.05,-16.1,0.0,0.0,0.96,1.04
1.02,-23.7,1.05,-8.0,1.05,-4.1,0.0,0.0,0.86,0.9
1.94,17.1,1.95,17.2,2.08,24.8,0.0,0.0,0.91,1.81
1.47,-10.7,1.59,-5.4,1.63,-2.7,0.0,0.0,0.64,1.01
2.18,39.3,2.14,37.0,2.06,36.4,0.0,0.0,0.83,1.77
2.08,32.7,2.1,31.8,2.03,32.4,0.0,0.0,0.9,1.87
2.79,0.3,2.85,0.7,2.82,0.3,6.75,96.3,1.05,2.95
2.87,0.3,2.89,0.5,2.97,1.3,5.9,38.3,0.86,2.5
3.2,1.2,3.09,-1.8,2.78,1.5,5.7,190.5,0.93,2.8
2.77,1.9,2.82,2.9,2.77,3.4,8.18,206.9,0.84,2.34
0.49,4.7,0.48,2.4,0.48,3.7,0.4,84.4,0.83,0.4
0.5,11.3,0.5,5.2,0.51,6.2,0.66,144.6,0.82,0.41
0.49,2.3,0.49,10.6,0.48,8.8,0.64,118.0,0.75,0.37
0.49,10.4,0.5,11.0,0.52,18.9,0.58,102.4,0.89,0.45
0.82,-6.6,0.84,-2.5,0.84,-1.5,0.0,0.0,1.41,1.18
0.84,-2.5,0.87,1.4,0.88,1.1,0.0,0.0,1.18,1.02
0.85,0.7,0.83,-4.9,0.83,-10.0,0.0,0.0,1.36,1.13
0.84,-7.9,0.82,-5.8,0.82,-6.1,0.0,0.0,1.26,1.04
0.77,-2.9,0.83,-2.2,0.85,-2.2,0.0,0.0,1.15,0.94
0.86,-1.8,0.85,-2.7,0.85,1.7,0.0,0.0,1.09,0.93
0.83,-1.9,0.83,-0.2,0.9,6.9,0.0,0.0,1.04,0.89
0.94,9.7,0.93,9.1,0.94,9.9,0.0,0.0,1.11,1.03
1.22,0.4,1.21,0.4,1.24,0.3,3.02,57.9,1.34,1.64
1.23,4.2,1.25,8.4,1.29,7.8,1.08,74.3,1.1,1.39
1.38,4.0,1.38,4.8,1.23,4.2,0.88,50.6,1.22,1.62
1.24,2.8,1.25,3.1,1.25,3.2,1.26,129.0,1.21,1.51
0.82,3.0,0.82,2.6,0.82,3.6,0.88,73.0,0.94,0.77
0.84,16.8,0.84,12.0,0.85,9.3,1.04,108.7,0.97,0.82
0.83,9.6,0.82,7.0,0.83,8.0,1.0,55.2,0.95,0.79
0.83,6.9,0.84,5.1,0.84,5.2,1.01,73.8,0.95,0.79
1.32,5.9,1.32,3.3,1.31,2.8,0.0,0.0,1.91,2.51
1.35,3.8,1.37,6.4,1.37,5.1,0.0,0.0,1.51,2.05
1.36,3.2,1.36,-2.3,1.35,-3.1,0.0,0.0,1.7,2.31
1.38,0.6,1.37,1.3,1.39,0.8,0.0,0.0,2.01,2.78
0.78,-3.2,0.9,15.6,0.91,-1.0,0.0,0.0,0.83,0.71
0.88,-2.3,0.94,7.6,0.88,3.8,0.0,0.0,0.82,0.74
0.87,6.2,0.87,6.2,0.89,-4.2,0.0,0.0,0.79,0.69
0.89,-6.4,0.9,-5.5,0.9,-6.7,0.0,0.0,0.84,0.75
1.4,-3.9,1.43,-2.3,1.43,-1.9,1.06,70.6,1.21,1.72
1.47,6.8,1.48,9.1,1.54,11.1,0.77,84.2,0.99,1.48
1.68,6.6,1.62,5.7,1.5,5.8,0.6,116.5,1.14,1.81
1.49,4.6,1.49,3.2,1.47,1.8,0.77,97.8,1.14,1.68
0.69,-0.9,0.69,-1.5,0.69,-0.2,0.58,58.4,0.77,0.53
0.7,8.5,0.7,4.9,0.69,2.7,0.81,82.9,0.85,0.59
0.69,3.2,0.69,1.7,0.69,1.5,0.7,64.2,0.82,0.57
0.68,1.9,0.68,1.7,0.68,0.7,0.71,65.8,0.78,0.53
0.39,-3.7,0.41,-6.9,0.34,-40.5,0.0,0.0,0.95,0.36
0.4,-27.8,0.36,-25.8,0.35,-21.4,0.0,0.0,0.96,0.35
0.34,-15.4,0.32,-51.2,0.35,-48.8,0.0,0.0,0.99,0.33
0.42,-30.6,0.38,-8.0,0.41,-10.7,0.0,0.0,0.89,0.36
1.59,-1.8,1.69,-4.3,1.71,-5.3,0.0,0.0,1.14,1.9
1.69,-5.9,1.68,-4.4,1.73,0.6,0.0,0.0,1.18,2.01
1.67,-4.0,1.69,1.8,1.66,-4.6,0.0,0.0,1.07,1.78
1.65,-10.2,1.69,-11.0,1.6,-13.5,0.0,0.0,1.19,1.96
1.51,-0.8,1.5,-1.7,1.55,-0.2,0.68,101.5,1.14,1.73
1.55,1.9,1.58,3.3,1.68,9.1,0.82,172.0,0.99,1.58
1.86,6.2,1.79,4.2,1.63,4.1,0.59,78.4,1.03,1.81
1.34,-18.4,1.3,-20.4,1.31,-20.1,0.66,49.6,1.12,1.48
0.79,-6.3,0.79,-6.5,0.78,-8.0,0.84,51.3,0.97,0.76
0.78,2.6,0.79,0.4,0.78,-3.0,0.88,76.6,0.98,0.77
0.79,1.1,0.78,2.2,0.79,1.0,0.89,96.6,0.99,0.78
0.82,0.1,0.82,1.3,0.83,1.4,0.85,92.7,0.93,0.76
0.58,-16.7,0.62,-11.1,0.62,-15.8,0.0,0.0,0.98,0.6
0.62,-15.8,0.61,-20.0,0.64,-5.6,0.0,0.0,0.92,0.57
0.58,-16.7,0.63,-30.4,0.62,-44.8,0.0,0.0,0.87,0.53
0.62,-30.4,0.61,0.0,0.58,0.0,0.0,0.0,0.91,0.55
1.18,6.7,1.12,0.0,1.13,2.2,0.0,0.0,0.73,0.83
1.07,-6.4,1.08,-4.3,1.09,-4.3,0.0,0.0,0.79,0.86
1.07,-6.5,1.02,-13.0,1.06,-8.5,0.0,0.0,0.6,0.64
1.06,-2.2,1.08,-4.3,1.1,-2.2,0.0,0.0,0.82,0.88
1.99,-7.5,2.09,-4.8,2.1,-2.2,1.62,159.0,0.97,2.0
2.18,13.7,2.14,20.2,2.18,12.7,0.66,2.9,0.84,1.82
2.4,7.3,2.41,3.4,2.24,9.8,0.42,-20.4,0.87,2.04
2.23,13.0,2.23,12.9,2.28,11.5,0.11,-86.9,0.85,1.9
0.49,0.0,0.48,-4.9,0.46,-3.4,0.44,54.7,0.96,0.46
0.47,9.4,0.49,8.3,0.48,8.6,0.6,67.5,0.95,0.46
0.47,5.8,0.46,-1.6,0.46,-0.5,0.5,36.5,0.97,0.45
0.45,5.3,0.45,2.4,0.45,0.2,0.38,21.9,0.91,0.41
0.53,-3.1,0.51,-3.2,0.52,-6.2,0.0,0.0,1.18,0.61
0.5,-10.7,0.51,-9.8,0.49,-10.2,0.0,0.0,1.14,0.57
0.5,-9.9,0.49,-29.4,0.52,-25.3,0.0,0.0,1.11,0.56
0.5,-17.7,0.52,-4.0,0.53,0.8,0.0,0.0,1.13,0.59
0.81,-8.6,0.88,-9.3,0.88,-10.5,0.0,0.0,1.23,1.05
0.89,-9.0,0.92,-4.7,0.88,-4.4,0.0,0.0,1.22,1.09
0.9,-4.7,0.9,-3.8,0.93,0.9,0.0,0.0,1.12,1.02
0.97,5.6,0.96,2.0,0.97,6.6,0.0,0.0,1.18,1.15
1.32,-2.8,1.31,-4.3,1.3,-4.0,0.44,110.8,1.15,1.51
